Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1977,136,"Spy Who Loved Me, The",Action,"Moore, Roger","Bach, Barbara","Gilbert, Lewis",27,No,"Spy Who Loved Me, The: a Moore, Roger and Bach, Barbara film’s, directed by Gilbert, Lewis"
1980,124,"Elephant Man, The",Drama,"Hopkins, Anthony","Bancroft, Anne","Lynch, David",3,Yes,"Elephant Man, The: a Hopkins, Anthony and Bancroft, Anne film’s, directed by Lynch, David"
1962,134,A Very Private Affair,Drama,"Mastroianni, Marcello","Bardot, Brigitte","Malle, Louis",30,No,"A Very Private Affair: a Mastroianni, Marcello and Bardot, Brigitte film’s, directed by Malle, Louis"
1989,126,Batman,Action,"Nicholson, Jack","Basinger, Kim","Burton, Tim",14,No,"Batman: a Nicholson, Jack and Basinger, Kim film’s, directed by Burton, Tim"
1992,125,Final Analysis,Drama,"Gere, Richard","Basinger, Kim","Joanou, Phil",50,No,"Final Analysis: a Gere, Richard and Basinger, Kim film’s, directed by Joanou, Phil"
1983,134,Never Say Never Again,Action,"Connery, Sean","Basinger, Kim","Kershner, Irvin",8,No,"Never Say Never Again: a Connery, Sean and Basinger, Kim film’s, directed by Kershner, Irvin"
1990,123,Misery,Horror,"Caan, James","Bates, Kathy","Reiner, Rob",48,Yes,"Misery: a Caan, James and Bates, Kathy film’s, directed by Reiner, Rob"
1990,127,Presumed Innocent,Mystery,"Ford, Harrison","Bedelia, Bonnie","Pakula, Alan J.",69,No,"Presumed Innocent: a Ford, Harrison and Bedelia, Bonnie film’s, directed by Pakula, Alan J."
1942,123,Reap the Wild Wind,Drama,"Wayne, John","Beecher, Janet","DeMille, Cecil B.",59,No,"Reap the Wild Wind: a Wayne, John and Beecher, Janet film’s, directed by DeMille, Cecil B."
1982,188,Gandhi,Drama,"Kingsley, Ben","Bergen, Candice","Attenborough, Richard",7,Yes,"Gandhi: a Kingsley, Ben and Bergen, Candice film’s, directed by Attenborough, Richard"
1970,126,Getting Straight,Comedy,"Gould, Elliott","Bergen, Candice","Rush, Richard",83,No,"Getting Straight: a Gould, Elliott and Bergen, Candice film’s, directed by Rush, Richard"
1982,195,A Woman Called Golda,Drama,"Beatty, Ned","Bergman, Ingrid","Gibson, Alan",15,Yes,"A Woman Called Golda: a Beatty, Ned and Bergman, Ingrid film’s, directed by Gibson, Alan"
1945,126,"Bells of St. Mary's, The",Drama,"Crosby, Bing","Bergman, Ingrid","McCarey, Leo",31,No,"Bells of St. Mary's, The: a Crosby, Bing and Bergman, Ingrid film’s, directed by McCarey, Leo"
1982,128,Conan the Barbarian,Action,"Schwarzenegger, Arnold","Bergman, Sandahl","Milius, John",45,No,"Conan the Barbarian: a Schwarzenegger, Arnold and Bergman, Sandahl film’s, directed by Milius, John"
1984,158,Amadeus,Drama,"Abraham, F. Murray","Berridge, Elizabeth","Forman, Milos",6,Yes,"Amadeus: a Abraham, F. Murray and Berridge, Elizabeth film’s, directed by Forman, Milos"
1988,172,"Unbearable Lightness of Being, The",Drama,"Day-Lewis, Daniel","Binoche, Juliette","Kaufman, Philip",5,Yes,"Unbearable Lightness of Being, The: a Day-Lewis, Daniel and Binoche, Juliette film’s, directed by Kaufman, Philip"
1972,124,"Life & Times of Judge Roy Bean, The",Western,"Newman, Paul","Bisset, Jacqueline","Huston, John",65,No,"Life & Times of Judge Roy Bean, The: a Newman, Paul and Bisset, Jacqueline film’s, directed by Huston, John"
1970,137,Airport,Drama,"Lancaster, Burt","Bisset, Jacqueline","Seaton, George",0,Yes,"Airport: a Lancaster, Burt and Bisset, Jacqueline film’s, directed by Seaton, George"
1974,144,"Day of the Locust, The",Drama,"Sutherland, Donald","Black, Karen","Schlesinger, John",81,No,"Day of the Locust, The: a Sutherland, Donald and Black, Karen film’s, directed by Schlesinger, John"
1982,123,Honkytonk Man,Drama,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint",69,No,"Honkytonk Man: a Eastwood, Clint and Bloom, Verna film’s, directed by Eastwood, Clint"
1981,129,For Your Eyes Only,Action,"Moore, Roger","Bouquet, Carole","Glen, John",86,No,"For Your Eyes Only: a Moore, Roger and Bouquet, Carole film’s, directed by Glen, John"
1928,139,Wings,War,"Rogers, Buddy","Bow, Clara","Wellman, William",44,Yes,"Wings: a Rogers, Buddy and Bow, Clara film’s, directed by Wellman, William"
1990,121,"Rookie, THe",Action,"Eastwood, Clint","Braga, Sonia","Eastwood, Clint",48,No,"Rookie, THe: a Eastwood, Clint and Braga, Sonia film’s, directed by Eastwood, Clint"
1973,129,"Sting, The",Drama,"Newman, Paul","Brennan, Eileen","Hill, George Roy",83,Yes,"Sting, The: a Newman, Paul and Brennan, Eileen film’s, directed by Hill, George Roy"
1990,135,Cyrano de Bergerac,Drama,"Depardieu, G�rard","Brochet, Anne","Rappeneau, Jean-Paul",76,No,"Cyrano de Bergerac: a Depardieu, G�rard and Brochet, Anne film’s, directed by Rappeneau, Jean-Paul"
1965,123,Morituri,Drama,"Brando, Marlon","Brynner, Yul","Wicki, Bernhard",9,No,"Morituri: a Brando, Marlon and Brynner, Yul film’s, directed by Wicki, Bernhard"
1973,122,"Exorcist, The",Horror,"Sydow, Max von","Burstyn, Ellen","Friedkin, William",28,Yes,"Exorcist, The: a Sydow, Max von and Burstyn, Ellen film’s, directed by Friedkin, William"
1989,125,Black Rain,Action,"Douglas, Michael","Capshaw, Kate","Scott, Ridley",73,No,"Black Rain: a Douglas, Michael and Capshaw, Kate film’s, directed by Scott, Ridley"
1963,138,8 1/2,Drama,"Mastroianni, Marcello","Cardinale, Claudia","Fellini, Federico",80,Yes,"8 1/2: a Mastroianni, Marcello and Cardinale, Claudia film’s, directed by Fellini, Federico"
1966,175,Is Paris Burning?,War,"Belmondo, Jean-Paul","Caron, Leslie","Cl�ment, Ren�",63,No,"Is Paris Burning?: a Belmondo, Jean-Paul and Caron, Leslie film’s, directed by Cl�ment, Ren�"
1974,313,QB VII,Drama,"Hopkins, Anthony","Caron, Leslie","Gries, Tom",28,Yes,"QB VII: a Hopkins, Anthony and Caron, Leslie film’s, directed by Gries, Tom"
1979,128,Moonraker,Action,"Moore, Roger","Chiles, Lois","Gilbert, Lewis",32,No,"Moonraker: a Moore, Roger and Chiles, Lois film’s, directed by Gilbert, Lewis"
1965,122,Darling,Drama,"Harvey, Laurence","Christie, Julie","Schlesinger, John",44,Yes,"Darling: a Harvey, Laurence and Christie, Julie film’s, directed by Schlesinger, John"
1992,135,City of Joy,Drama,"Swayze, Patrick","Collins, Pauline","Joffe, Roland",87,No,"City of Joy: a Swayze, Patrick and Collins, Pauline film’s, directed by Joffe, Roland"
1977,123,Slap Shot,Comedy,"Newman, Paul","Crouse, Lindsay","Hill, George Roy",82,No,"Slap Shot: a Newman, Paul and Crouse, Lindsay film’s, directed by Hill, George Roy"
1979,122,Hair,Music,"Savage, John","D'Angelo, Beverly","Forman, Milos",67,No,"Hair: a Savage, John and D'Angelo, Beverly film’s, directed by Forman, Milos"
1974,124,"Dersu Uzala, (The Hunter)",Adventure,"Solomin, Yuri","Danilchenko, Svetlana","Kurosawa, Akira",81,Yes,"Dersu Uzala, (The Hunter): a Solomin, Yuri and Danilchenko, Svetlana film’s, directed by Kurosawa, Akira"
1969,128,True Grit,Western,"Wayne, John","Darby, Kim","Hathaway, Henry",77,Yes,"True Grit: a Wayne, John and Darby, Kim film’s, directed by Hathaway, Henry"
1965,133,"Hush, Hush, Sweet Charlotte",Mystery,"Cotten, Joseph","Davis, Bette","Aldrich, Robert",68,No,"Hush, Hush, Sweet Charlotte: a Cotten, Joseph and Davis, Bette film’s, directed by Aldrich, Robert"
1950,138,All about Eve,Drama,"Sanders, George","Davis, Bette","Mankiewicz, Joseph L.",23,Yes,"All about Eve: a Sanders, George and Davis, Bette film’s, directed by Mankiewicz, Joseph L."
1981,135,Choice of Arms,Action,"Montand, Yves","Deneuve, Catherine","Corneau, Alan",87,No,"Choice of Arms: a Montand, Yves and Deneuve, Catherine film’s, directed by Corneau, Alan"
1980,135,"Last Metro, The",Drama,"Depardieu, G�rard","Deneuve, Catherine","Truffaut, Fran�ois",66,No,"Last Metro, The: a Depardieu, G�rard and Deneuve, Catherine film’s, directed by Truffaut, Fran�ois"
1989,127,Fat Man & Little Boy,Drama,"Newman, Paul","Dern, Laura","Joffe, Roland",86,No,"Fat Man & Little Boy: a Newman, Paul and Dern, Laura film’s, directed by Joffe, Roland"
1990,125,Wild at Heart,Drama,"Cage, Nicolas","Dern, Laura","Lynch, David",6,No,"Wild at Heart: a Cage, Nicolas and Dern, Laura film’s, directed by Lynch, David"
1961,190,Judgment at Nuremberg,Drama,"Tracy, Spencer","Dietrich, Marlene","Kramer, Stanley",39,Yes,"Judgment at Nuremberg: a Tracy, Spencer and Dietrich, Marlene film’s, directed by Kramer, Stanley"
1987,130,Wings of Desire,Drama,"Ganz, Bruno","Dommartin, Solveig","Wenders, Wim",71,No,"Wings of Desire: a Ganz, Bruno and Dommartin, Solveig film’s, directed by Wenders, Wim"
1991,158,Until the End of the World,Drama,"Hurt, William","Dommartin, Solveig","Wenders, Wim",57,No,"Until the End of the World: a Hurt, William and Dommartin, Solveig film’s, directed by Wenders, Wim"
1974,131,Chinatown,Drama,"Nicholson, Jack","Dunaway, Faye","Polanski, Roman",55,Yes,"Chinatown: a Nicholson, Jack and Dunaway, Faye film’s, directed by Polanski, Roman"
1977,134,Voyage of the Damned,Drama,"Sydow, Max von","Dunaway, Faye","Rosenberg, Stuart",34,No,"Voyage of the Damned: a Sydow, Max von and Dunaway, Faye film’s, directed by Rosenberg, Stuart"
1980,144,"Shining, The",Horror,"Nicholson, Jack","Duvall, Shelley","Kubrick, Stanley",32,No,"Shining, The: a Nicholson, Jack and Duvall, Shelley film’s, directed by Kubrick, Stanley"
1970,123,"Molly Maguires, The",Action,"Connery, Sean","Eggar, Samantha","Ritt, Martin",3,No,"Molly Maguires, The: a Connery, Sean and Eggar, Samantha film’s, directed by Ritt, Martin"
1961,140,La Dolce Vita,Drama,"Mastroianni, Marcello","Ekberg, Anita","Fellini, Federico",20,No,"La Dolce Vita: a Mastroianni, Marcello and Ekberg, Anita film’s, directed by Fellini, Federico"
1974,127,"Man with the Golden Gun, The",Action,"Moore, Roger","Ekland, Britt","Hamilton, Guy",41,No,"Man with the Golden Gun, The: a Moore, Roger and Ekland, Britt film’s, directed by Hamilton, Guy"
1978,450,Holocaust,Drama,"Bottoms, Joseph","Feldshuh, Tovah","Chomsky, Marvin J.",1,No,"Holocaust: a Bottoms, Joseph and Feldshuh, Tovah film’s, directed by Chomsky, Marvin J."
1980,124,"Empire Strikes Back, The",Science Fiction,"Hamill, Mark","Fisher, Carrie","Kershner, Irvin",33,No,"Empire Strikes Back, The: a Hamill, Mark and Fisher, Carrie film’s, directed by Kershner, Irvin"
1977,121,Star Wars,Science Fiction,"Hamill, Mark","Fisher, Carrie","Lucas, George",44,No,"Star Wars: a Hamill, Mark and Fisher, Carrie film’s, directed by Lucas, George"
1983,132,Return of the Jedi,Science Fiction,"Hamill, Mark","Fisher, Carrie","Marquand, Richard",4,No,"Return of the Jedi: a Hamill, Mark and Fisher, Carrie film’s, directed by Marquand, Richard"
1972,129,Roma,Drama,"Gonzales, Peter","Florence, Fiona","Fellini, Federico",75,No,"Roma: a Gonzales, Peter and Florence, Fiona film’s, directed by Fellini, Federico"
1979,122,"China Syndrome, The",Drama,"Douglas, Michael","Fonda, Jane","Bridges, James",43,No,"China Syndrome, The: a Douglas, Michael and Fonda, Jane film’s, directed by Bridges, James"
1940,130,Rebecca,Drama,"Olivier, Laurence","Fontaine, Joan","Hitchcock, Alfred",78,Yes,"Rebecca: a Olivier, Laurence and Fontaine, Joan film’s, directed by Hitchcock, Alfred"
1925,125,Joyless Street,Drama,"Stuart, Henry","Garbo, Greta","Pabst, Georg Wilhelm",73,No,"Joyless Street: a Stuart, Henry and Garbo, Greta film’s, directed by Pabst, Georg Wilhelm"
1975,124,Jaws,Action,"Scheider, Roy","Gary, Lorraine","Spielberg, Steven",6,No,"Jaws: a Scheider, Roy and Gary, Lorraine film’s, directed by Spielberg, Steven"
1986,122,Salvador,Drama,"Woods, James","Gibb, Cynthia","Stone, Oliver",77,No,"Salvador: a Woods, James and Gibb, Cynthia film’s, directed by Stone, Oliver"
1961,134,"Hustler, The",Drama,"Newman, Paul","Gleason, Jackie","Rossen, Robert",43,Yes,"Hustler, The: a Newman, Paul and Gleason, Jackie film’s, directed by Rossen, Robert"
1988,134,Rain Man,Drama,"Hoffman, Dustin","Golino, Valeria","Levinson, Barry",8,Yes,"Rain Man: a Hoffman, Dustin and Golino, Valeria film’s, directed by Levinson, Barry"
1979,180,"Last Ride of the Dalton Gang, The",Western,"Palance, Jack","Greenbush, Lindsay","Curtis, Dan",62,No,"Last Ride of the Dalton Gang, The: a Palance, Jack and Greenbush, Lindsay film’s, directed by Curtis, Dan"
1990,126,"Bonfire of the Vanities, The",Drama,"Hanks, Tom","Griffith, Melanie","De Palma, Brian",82,No,"Bonfire of the Vanities, The: a Hanks, Tom and Griffith, Melanie film’s, directed by De Palma, Brian"
1992,133,Shining Through,Mystery,"Douglas, Michael","Griffith, Melanie","Seltzer, David",11,No,"Shining Through: a Douglas, Michael and Griffith, Melanie film’s, directed by Seltzer, David"
1991,136,Terminator 2,Action,"Schwarzenegger, Arnold","Hamilton, Linda","Cameron, James",8,No,"Terminator 2: a Schwarzenegger, Arnold and Hamilton, Linda film’s, directed by Cameron, James"
1969,125,Those Daring Young Men in Their Jaunty,Comedy,"Curtis, Tony","Hampshire, Susan",,59,No,
1991,186,At Play in the Fields of the Lord,Drama,"Berenger, Tom","Hannah, Daryl","Babenco, Hector",81,No,"At Play in the Fields of the Lord: a Berenger, Tom and Hannah, Daryl film’s, directed by Babenco, Hector"
1987,126,Wall Street,Drama,"Douglas, Michael","Hannah, Daryl","Stone, Oliver",6,Yes,"Wall Street: a Douglas, Michael and Hannah, Daryl film’s, directed by Stone, Oliver"
1938,298,Flaming Frontiers,Western,"Brown, Johnny Mack","Hansen, Eleanor","Taylor, Ray",82,No,"Flaming Frontiers: a Brown, Johnny Mack and Hansen, Eleanor film’s, directed by Taylor, Ray"
1964,132,Circus World,Drama,"Wayne, John","Hayworth, Rita","Hathaway, Henry",29,No,"Circus World: a Wayne, John and Hayworth, Rita film’s, directed by Hathaway, Henry"
1964,130,Marnie,Drama,"Connery, Sean","Hedren, Tippi","Hitchcock, Alfred",2,No,"Marnie: a Connery, Sean and Hedren, Tippi film’s, directed by Hitchcock, Alfred"
1964,170,My Fair Lady,Music,"Harrison, Rex","Hepburn, Audrey","Cukor, George",10,Yes,"My Fair Lady: a Harrison, Rex and Hepburn, Audrey film’s, directed by Cukor, George"
1960,123,"Unforgiven, The",Drama,"Lancaster, Burt","Hepburn, Audrey","Huston, John",32,No,"Unforgiven, The: a Lancaster, Burt and Hepburn, Audrey film’s, directed by Huston, John"
1956,121,"Rainmaker, The",Drama,"Lancaster, Burt","Hepburn, Katharine","Anthony, Joseph",21,No,"Rainmaker, The: a Lancaster, Burt and Hepburn, Katharine film’s, directed by Anthony, Joseph"
1968,134,"Lion in Winter, THe",Drama,"O'Toole, Peter","Hepburn, Katharine","Harvey, Anthony",78,Yes,"Lion in Winter, THe: a O'Toole, Peter and Hepburn, Katharine film’s, directed by Harvey, Anthony"
1991,132,"Sea of Grass, The",Western,"Tracy, Spencer","Hepburn, Katharine","Kazan, Elia",75,No,"Sea of Grass, The: a Tracy, Spencer and Hepburn, Katharine film’s, directed by Kazan, Elia"
1957,153,Desk Set,Comedy,"Tracy, Spencer","Hepburn, Katharine","Lang, Walter",51,No,"Desk Set: a Tracy, Spencer and Hepburn, Katharine film’s, directed by Lang, Walter"
1991,145,Dragon Seed,Drama,"Tracy, Spencer","Hepburn, Katharine",,34,No,
1988,163,"Last Temptation of Christ, The",Drama,"Dafoe, Willem","Hershey, Barbara","Scorsese, Martin",32,No,"Last Temptation of Christ, The: a Dafoe, Willem and Hershey, Barbara film’s, directed by Scorsese, Martin"
1943,265,"Adventures of Smilin' Jack, The",Mystery,"Brown, Tom","Hobart, Rose","Taylor, Ray",77,No,"Adventures of Smilin' Jack, The: a Brown, Tom and Hobart, Rose film’s, directed by Taylor, Ray"
1928,148,Tempest,Drama,"Barrymore, John","Horn, Camilla","Taylor, Sam",33,No,"Tempest: a Barrymore, John and Horn, Camilla film’s, directed by Taylor, Sam"
1982,136,"World According to Garp, The",Drama,"Williams, Robin","Hurt, Mary Beth","Hill, George Roy",59,No,"World According to Garp, The: a Williams, Robin and Hurt, Mary Beth film’s, directed by Hill, George Roy"
1940,127,Northwest Passage,Action,"Tracy, Spencer","Hussey, Ruth","Vidor, King",51,No,"Northwest Passage: a Tracy, Spencer and Hussey, Ruth film’s, directed by Vidor, King"
1989,121,"Enemies, a Love Story",Drama,"Silver, Ron","Huston, Anjelica","Mazursky, Paul",5,No,"Enemies, a Love Story: a Silver, Ron and Huston, Anjelica film’s, directed by Mazursky, Paul"
1980,129,"Competition, The",Drama,"Dreyfuss, Richard","Irving, Amy","Oliansky, Joel",45,No,"Competition, The: a Dreyfuss, Richard and Irving, Amy film’s, directed by Oliansky, Joel"
1970,129,Women in Love.,Drama,"Bates, Alan","Jackson, Glenda","Russell, Ken",18,No,"Women in Love.: a Bates, Alan and Jackson, Glenda film’s, directed by Russell, Ken"
1981,132,Mephisto,Drama,"Brandauer, Klaus Maria","Janda, Krystyna","Szab�, Istv�n",80,Yes,"Mephisto: a Brandauer, Klaus Maria and Janda, Krystyna film’s, directed by Szab�, Istv�n"
1990,131,A View to a Kill,Action,"Moore, Roger","Jones, Grace",,44,No,
1989,145,Born on the Fourth of July,Drama,"Cruise, Tom","Kava, Caroline","Stone, Oliver",8,Yes,"Born on the Fourth of July: a Cruise, Tom and Kava, Caroline film’s, directed by Stone, Oliver"
1981,195,Reds,Drama,"Beatty, Warren","Keaton, Diane","Beatty, Warren",76,Yes,"Reds: a Beatty, Warren and Keaton, Diane film’s, directed by Beatty, Warren"
1977,136,Looking for Mr. Goodbar,Drama,"Atherton, William","Keaton, Diane","Brooks, Richard",54,No,"Looking for Mr. Goodbar: a Atherton, William and Keaton, Diane film’s, directed by Brooks, Richard"
1972,175,"Godfather, The",Drama,"Brando, Marlon","Keaton, Diane","Coppola, Francis Ford",8,Yes,"Godfather, The: a Brando, Marlon and Keaton, Diane film’s, directed by Coppola, Francis Ford"
1974,201,"Godfather, Pt 2., The",Drama,"Pacino, Al","Keaton, Diane","Coppola, Francis Ford",8,Yes,"Godfather, Pt 2., The: a Pacino, Al and Keaton, Diane film’s, directed by Coppola, Francis Ford"
1970,130,Fellini Satyricon,Drama,"Potter, Martin","Keller, Hiram","Fellini, Federico",88,No,"Fellini Satyricon: a Potter, Martin and Keller, Hiram film’s, directed by Fellini, Federico"
1977,143,Black Sunday,Drama,"Shaw, Robert","Keller, Marthe","Frankenheimer, John",76,No,"Black Sunday: a Shaw, Robert and Keller, Marthe film’s, directed by Frankenheimer, John"
1977,124,Bobby Deerfield,Drama,"Pacino, Al","Keller, Marthe","Pollack, Sydney",36,No,"Bobby Deerfield: a Pacino, Al and Keller, Marthe film’s, directed by Pollack, Sydney"
1956,129,"Bad Seed, The",Horror,"Jones, Henry","Kelly, Nancy","LeRoy, Mervyn",69,No,"Bad Seed, The: a Jones, Henry and Kelly, Nancy film’s, directed by LeRoy, Mervyn"
1978,145,"Superman, The Movie",Action,"Brando, Marlon","Kidder, Margot","Donner, Richard",87,No,"Superman, The Movie: a Brando, Marlon and Kidder, Margot film’s, directed by Donner, Richard"
1984,150,"Paris, Texas",Drama,"Stanton, Harry Dean","Kinski, Nastassia","Wenders, Wim",27,No,"Paris, Texas: a Stanton, Harry Dean and Kinski, Nastassia film’s, directed by Wenders, Wim"
1977,127,"American Friend, The",Mystery,"Hopper, Dennis","Kreuzer, Lisa","Wenders, Wim",35,No,"American Friend, The: a Hopper, Dennis and Kreuzer, Lisa film’s, directed by Wenders, Wim"
1988,127,Everybody's All American,Romance,"Quaid, Dennis","Lange, Jessica","Hackford, Taylor",62,No,"Everybody's All American: a Quaid, Dennis and Lange, Jessica film’s, directed by Hackford, Taylor"
1992,128,Cape Fear,Mystery,"De Niro, Robert","Lange, Jessica","Scorsese, Martin",7,No,"Cape Fear: a De Niro, Robert and Lange, Jessica film’s, directed by Scorsese, Martin"
1992,121,"Postman Always Rings Twice, The",Mystery,"Nicholson, Jack","Lange, Jessica",,24,No,
1971,137,"Boy Friend, THe",Music,"Gable, Christopher","Lawson, Twiggy","Russell, Ken",8,No,"Boy Friend, THe: a Gable, Christopher and Lawson, Twiggy film’s, directed by Russell, Ken"
1951,122,A Streetcar Named Desire,Drama,"Brando, Marlon","Leigh, Vivien","Kazan, Elia",75,Yes,"A Streetcar Named Desire: a Brando, Marlon and Leigh, Vivien film’s, directed by Kazan, Elia"
1985,128,Christopher Columbus,Drama,"Byrne, Gabriel","Lisi, Virna","Lattuada, Alberto",69,No,"Christopher Columbus: a Byrne, Gabriel and Lisi, Virna film’s, directed by Lattuada, Alberto"
1978,132,"Wild Geese, The",Action,"Burton, Richard","Lloyd, Rosalind","McLaglen, Andrew V.",21,No,"Wild Geese, The: a Burton, Richard and Lloyd, Rosalind film’s, directed by McLaglen, Andrew V."
1986,132,Alrededor de Medianoche,Drama,Francois Cluzet,Lonette McKee,"Rayfield, David",47,No,"Alrededor de Medianoche: a Francois Cluzet and Lonette McKee film’s, directed by Rayfield, David"
1964,188,"Fall of the Roman Empire, The",Drama,"Boyd, Stphen","Loren, Sophia","Mann, Anthony",62,No,"Fall of the Roman Empire, The: a Boyd, Stphen and Loren, Sophia film’s, directed by Mann, Anthony"
1961,172,El Cid,Drama,"Heston, Charlton","Loren, Sophia","Mann, Anthony",10,No,"El Cid: a Heston, Charlton and Loren, Sophia film’s, directed by Mann, Anthony"
1991,145,"Sophia Loren, Her Own Story",Drama,"Gavin, John","Loren, Sophia",,49,No,
1991,130,Man of La Mancha,Music,"O'Toole, Peter","Loren, Sophia",,55,No,
1986,141,Courage,Drama,"Williams, Billy Dee","Loren, Sophia",,56,No,
1986,125,"Mission, The",Drama,"De Niro, Robert","Lunghi, Cherie","Joffe, Roland",20,No,"Mission, The: a De Niro, Robert and Lunghi, Cherie film’s, directed by Joffe, Roland"
1962,150,Lolita,Drama,"Mason, James","Lyon, Sue","Kubrick, Stanley",80,No,"Lolita: a Mason, James and Lyon, Sue film’s, directed by Kubrick, Stanley"
1979,129,Being There,Comedy,"Sellers, Peter","MacLaine, Shirley","Ashby, Hal",31,Yes,"Being There: a Sellers, Peter and MacLaine, Shirley film’s, directed by Ashby, Hal"
1983,132,Terms of Endearment,Drama,"Nicholson, Jack","MacLaine, Shirley","Brooks, James L.",32,Yes,"Terms of Endearment: a Nicholson, Jack and MacLaine, Shirley film’s, directed by Brooks, James L."
1974,124,Amarcord,Drama,"Noel, Magali","Maggio, Pupella","Fellini, Federico",50,Yes,"Amarcord: a Noel, Magali and Maggio, Pupella film’s, directed by Fellini, Federico"
1986,130,El Guerrero Solitario,Drama,"Eastwood, Clint","Mason, Marsha","Eastwood, Clint",77,No,"El Guerrero Solitario: a Eastwood, Clint and Mason, Marsha film’s, directed by Eastwood, Clint"
1986,130,Heartbreak Ridge,War,"Eastwood, Clint","Mason, Marsha","Eastwood, Clint",61,No,"Heartbreak Ridge: a Eastwood, Clint and Mason, Marsha film’s, directed by Eastwood, Clint"
1991,144,Robin Hood: Prince of Thieves,Action,"Costner, Kevin","Mastrantonio, Mary Elizabeth","Costner, Kevin",8,No,"Robin Hood: Prince of Thieves: a Costner, Kevin and Mastrantonio, Mary Elizabeth film’s, directed by Costner, Kevin"
1990,181,Dances with Wolves,Western,"Costner, Kevin","McDonnell, Mary","Costner, Kevin",8,Yes,"Dances with Wolves: a Costner, Kevin and McDonnell, Mary film’s, directed by Costner, Kevin"
1987,130,Matewan,Drama,"Jones, James Earl","McDonnell, Mary","Sayles, John",81,No,"Matewan: a Jones, James Earl and McDonnell, Mary film’s, directed by Sayles, John"
1975,130,"Eiger Sanction, The",Action,"Eastwood, Clint","McGee, Vonetta","Eastwood, Clint",69,No,"Eiger Sanction, The: a Eastwood, Clint and McGee, Vonetta film’s, directed by Eastwood, Clint"
1965,199,"Greatest Story Ever Told, The",Drama,"Sydow, Max von","McGuire, Dorothy","Stevens, George",26,No,"Greatest Story Ever Told, The: a Sydow, Max von and McGuire, Dorothy film’s, directed by Stevens, George"
1991,206,JFK,Drama,"Costner, Kevin","Metcalf, Laurie","Stone, Oliver",78,No,"JFK: a Costner, Kevin and Metcalf, Laurie film’s, directed by Stone, Oliver"
