Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1961,100,Two Women,Drama,"Belmondo, Jean-Paul","Loren, Sophia","De Sica, Vittorio",83,Yes,"Two Women: a Belmondo, Jean-Paul and Loren, Sophia film’s, directed by De Sica, Vittorio"
1961,172,El Cid,Drama,"Heston, Charlton","Loren, Sophia","Mann, Anthony",10,No,"El Cid: a Heston, Charlton and Loren, Sophia film’s, directed by Mann, Anthony"
1961,154,"Four Horsemen of the Apocalypse, The",Drama,"Ford, Glenn","Thulin, Ingrid","Minnelli, Vincente",71,No,"Four Horsemen of the Apocalypse, The: a Ford, Glenn and Thulin, Ingrid film’s, directed by Minnelli, Vincente"
1961,153,West Side Story,Music,"Beymer, Richard","Wood, Natalie","Wise, Robert",38,Yes,"West Side Story: a Beymer, Richard and Wood, Natalie film’s, directed by Wise, Robert"
1961,98,Paris Blues,Drama,"Newman, Paul","Woodward, Joanne","Ritt, Martin",54,No,"Paris Blues: a Newman, Paul and Woodward, Joanne film’s, directed by Ritt, Martin"
1961,141,One Eyed Jacks,Western,"Malden, Karl",,"Brando, Marlon",26,No,
1961,113,Ferry to Hong Kong,Drama,"Welles, Orson",,"Gilbert, Lewis",77,No,
1961,110,Yojimbo,Action,"Mifune, Toshiro",,"Kurosawa, Akira",60,No,
1962,91,Through a Glass Darkly,Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",64,Yes,"Through a Glass Darkly: a Bj�rnstrand, Gunnar and Andersson, Harriet film’s, directed by Bergman, Ingmar"
1962,,Dr. No,Action,"Connery, Sean","Andress, Ursula","Young, Terence",7,No,"Dr. No: a Connery, Sean and Andress, Ursula film’s, directed by Young, Terence"
1962,134,A Very Private Affair,Drama,"Mastroianni, Marcello","Bardot, Brigitte","Malle, Louis",30,No,"A Very Private Affair: a Mastroianni, Marcello and Bardot, Brigitte film’s, directed by Malle, Louis"
1962,100,"Le Repos Du Guerrier, (Warrior's Rest)",War,"Hossein, Robert","Bardot, Brigitte","Vadim, Roger",8,No,"Le Repos Du Guerrier, (Warrior's Rest): a Hossein, Robert and Bardot, Brigitte film’s, directed by Vadim, Roger"
1962,91,Road to Hong Kong,Comedy,"Hope, Bob","Collins, Joan","Panama, Norman",37,No,"Road to Hong Kong: a Hope, Bob and Collins, Joan film’s, directed by Panama, Norman"
1962,110,Sundays & Cybele,Drama,"Kruger, Hardy","Courcel, Nicole","Bourguignon, Serge",11,Yes,"Sundays & Cybele: a Kruger, Hardy and Courcel, Nicole film’s, directed by Bourguignon, Serge"
1962,105,A Child Is Waiting,Drama,"Lancaster, Burt","Garland, Judy","Cassavetes, John",60,No,"A Child Is Waiting: a Lancaster, Burt and Garland, Judy film’s, directed by Cassavetes, John"
1962,150,Lolita,Drama,"Mason, James","Lyon, Sue","Kubrick, Stanley",80,No,"Lolita: a Mason, James and Lyon, Sue film’s, directed by Kubrick, Stanley"
1962,123,"Man Who Shot Liberty Valance, The",Western,"Stewart, James","Miles, Vera","Ford, John",85,No,"Man Who Shot Liberty Valance, The: a Stewart, James and Miles, Vera film’s, directed by Ford, John"
1962,119,Rome Adventure,Drama,"Donahue, Tony","Pleshette, Suzanne","Daves, Delmer",39,No,"Rome Adventure: a Donahue, Tony and Pleshette, Suzanne film’s, directed by Daves, Delmer"
1962,123,Experiment in Terror,Mystery,"Ford, Glenn","Powers, Stefanie","Edwards, Blake",77,No,"Experiment in Terror: a Ford, Glenn and Powers, Stefanie film’s, directed by Edwards, Blake"
1962,183,"Longest Day, The",War,"Wayne, John",,"Annakin, Ken",7,No,
1962,100,"Grim Reaper, The",Drama,"Rulu, Francesco",,"Bertolucci, Bernardo",35,No,
1962,96,Sanjuro,Mystery,"Mifune, Toshiro",,"Kurosawa, Akira",6,No,
1962,182,Mutiny on the Bounty,Action,"Brando, Marlon",,,35,No,
1963,109,Donovan's Reef,Comedy,"Wayne, John","Allen, Elizabeth","Ford, John",62,No,"Donovan's Reef: a Wayne, John and Allen, Elizabeth film’s, directed by Ford, John"
1963,138,8 1/2,Drama,"Mastroianni, Marcello","Cardinale, Claudia","Fellini, Federico",80,Yes,"8 1/2: a Mastroianni, Marcello and Cardinale, Claudia film’s, directed by Fellini, Federico"
1963,120,"Ugly American, The",Drama,"Brando, Marlon","Church, Sandra","Englund, George",63,No,"Ugly American, The: a Brando, Marlon and Church, Sandra film’s, directed by Englund, George"
1963,99,Bedtime Story,Comedy,"Brando, Marlon","Jones, Shirley","Levy, Ralph",7,No,"Bedtime Story: a Brando, Marlon and Jones, Shirley film’s, directed by Levy, Ralph"
1963,118,"Yesterday, Today & Tomorrow",Comedy,"Mastroianni, Marcello","Loren, Sophia","De Sica, Vittorio",73,Yes,"Yesterday, Today & Tomorrow: a Mastroianni, Marcello and Loren, Sophia film’s, directed by De Sica, Vittorio"
1963,112,Hud,Drama,"Newman, Paul","Neal, Patricia","Ritt, Martin",2,Yes,"Hud: a Newman, Paul and Neal, Patricia film’s, directed by Ritt, Martin"
1963,93,Lilies of the Field,Drama,"Poitier, Sidney","Skala, Lilia","Poitier, Sidney",36,Yes,"Lilies of the Field: a Poitier, Sidney and Skala, Lilia film’s, directed by Poitier, Sidney"
1963,243,Cleopatra,Drama,"Burton, Richard","Taylor, Elizabeth","Mankiewicz, Joseph L.",80,No,"Cleopatra: a Burton, Richard and Taylor, Elizabeth film’s, directed by Mankiewicz, Joseph L."
1963,80,Winter Light,Drama,"Bj�rnstrand, Gunnar","Thulin, Ingrid","Bergman, Ingmar",2,No,"Winter Light: a Bj�rnstrand, Gunnar and Thulin, Ingrid film’s, directed by Bergman, Ingmar"
1963,95,"Silence, The",Drama,"Malmsten, Birger","Thulin, Ingrid","Bergman, Ingmar",79,No,"Silence, The: a Malmsten, Birger and Thulin, Ingrid film’s, directed by Bergman, Ingmar"
1963,113,Heavens Above,Comedy,"Sellers, Peter",,"Boulting, John",38,No,
1963,81,"Terror, The",Horror,"Karloff, Boris",,"Corman, Roger",88,No,
1963,86,"Raven, The",Horror,"Price, Vincent",,"Corman, Roger",85,No,
1963,89,"Crawling Hand, The",Science Fiction,"Breck, Peter",,"Strock, Herbert L.",79,No,
1964,102,Contempt,Drama,"Palance, Jack","Bardot, Brigitte","Godard, Jean-Luc",81,No,"Contempt: a Palance, Jack and Bardot, Brigitte film’s, directed by Godard, Jean-Luc"
1964,99,"Ravishing Idiot, The",Comedy,"Perkins, Anthony","Bardot, Brigitte","Molinaro, Edouard",34,No,"Ravishing Idiot, The: a Perkins, Anthony and Bardot, Brigitte film’s, directed by Molinaro, Edouard"
1964,112,Goldfinger,Action,"Connery, Sean","Blackman, Honor","Hamilton, Guy",77,No,"Goldfinger: a Connery, Sean and Blackman, Honor film’s, directed by Hamilton, Guy"
1964,51,"Outer Limits, The",Science Fiction,"Perrin, Vic","Grahame, Gloria","Stanley, Paul",27,No,"Outer Limits, The: a Perrin, Vic and Grahame, Gloria film’s, directed by Stanley, Paul"
1964,132,Circus World,Drama,"Wayne, John","Hayworth, Rita","Hathaway, Henry",29,No,"Circus World: a Wayne, John and Hayworth, Rita film’s, directed by Hathaway, Henry"
1964,130,Marnie,Drama,"Connery, Sean","Hedren, Tippi","Hitchcock, Alfred",2,No,"Marnie: a Connery, Sean and Hedren, Tippi film’s, directed by Hitchcock, Alfred"
1964,170,My Fair Lady,Music,"Harrison, Rex","Hepburn, Audrey","Cukor, George",10,Yes,"My Fair Lady: a Harrison, Rex and Hepburn, Audrey film’s, directed by Cukor, George"
1964,188,"Fall of the Roman Empire, The",Drama,"Boyd, Stphen","Loren, Sophia","Mann, Anthony",62,No,"Fall of the Roman Empire, The: a Boyd, Stphen and Loren, Sophia film’s, directed by Mann, Anthony"
1964,120,Tom Jones,Drama,"Ustinov, Peter","Mercouri, Melina","Dassin, Jules",39,Yes,"Tom Jones: a Ustinov, Peter and Mercouri, Melina film’s, directed by Dassin, Jules"
1964,101,A Shot in the Dark,Comedy,"Sellers, Peter","Sommer, Elke","Edwards, Blake",51,No,"A Shot in the Dark: a Sellers, Peter and Sommer, Elke film’s, directed by Edwards, Blake"
1964,102,A Fistful of Dollars,Westerns,"Eastwood, Clint","Volonte, Gian Maria","Leone, Sergio",61,No,"A Fistful of Dollars: a Eastwood, Clint and Volonte, Gian Maria film’s, directed by Leone, Sergio"
1964,105,Ensign Pulver,Comedy,"Walker, Robert, Jr.",,"Logan, Joshua",16,No,
1964,,From Russia with Love,Action,"Connery, Sean",,,6,No,
1965,172,"Sound of Music, The",Music,"Plummer, Christopher","Andrews, Julie","Wise, Robert",59,Yes,"Sound of Music, The: a Plummer, Christopher and Andrews, Julie film’s, directed by Wise, Robert"
1965,100,Dear Brigitte,Comedy,"Mumy, Billy","Bardot, Brigitte","Koster, Henry",71,No,"Dear Brigitte: a Mumy, Billy and Bardot, Brigitte film’s, directed by Koster, Henry"
1965,123,Morituri,Drama,"Brando, Marlon","Brynner, Yul","Wicki, Bernhard",9,No,"Morituri: a Brando, Marlon and Brynner, Yul film’s, directed by Wicki, Bernhard"
1965,122,Darling,Drama,"Harvey, Laurence","Christie, Julie","Schlesinger, John",44,Yes,"Darling: a Harvey, Laurence and Christie, Julie film’s, directed by Schlesinger, John"
1965,133,"Hush, Hush, Sweet Charlotte",Mystery,"Cotten, Joseph","Davis, Bette","Aldrich, Robert",68,No,"Hush, Hush, Sweet Charlotte: a Cotten, Joseph and Davis, Bette film’s, directed by Aldrich, Robert"
1965,97,Cat Ballou,Comedy,"Marvin, Lee","Fonda, Jane","Silverstein, Elliot",62,Yes,"Cat Ballou: a Marvin, Lee and Fonda, Jane film’s, directed by Silverstein, Elliot"
1965,199,"Greatest Story Ever Told, The",Drama,"Sydow, Max von","McGuire, Dorothy","Stevens, George",26,No,"Greatest Story Ever Told, The: a Sydow, Max von and McGuire, Dorothy film’s, directed by Stevens, George"
1965,108,What's New Pussycat,Comedy,"O'Toole, Peter","Prentiss, Paula","Donner, Clive",83,No,"What's New Pussycat: a O'Toole, Peter and Prentiss, Paula film’s, directed by Donner, Clive"
1965,108,What's New Pussycat?,Comedy,"Sellers, Peter","Prentiss, Paula","Donner, Clive",46,No,"What's New Pussycat?: a Sellers, Peter and Prentiss, Paula film’s, directed by Donner, Clive"
1965,128,"Shop on Main Street, The",Drama,"Kroner, Josef","Slivoka, Hana","Kadar, Jan",37,Yes,"Shop on Main Street, The: a Kroner, Josef and Slivoka, Hana film’s, directed by Kadar, Jan"
1965,106,A Patch of Blue,Drama,"Poitier, Sidney","Winters, Shelley","Green, Guy",51,No,"A Patch of Blue: a Poitier, Sidney and Winters, Shelley film’s, directed by Green, Guy"
1965,165,In Harm's Way,War,"Wayne, John",,,66,No,
1966,103,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",46,Yes,"A Man & a Woman: a Trintignant, Jean-Louis and Aimee, Anouk film’s, directed by Lelouch, Claude"
1966,103,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",6,Yes,"Un Hombre y una Mujer: a Trintignant, Jean-Louis and Aimee, Anouk film’s, directed by Lelouch, Claude"
1966,190,Hawaii,Drama,"Sydow, Max von","Andrews, Julie","Hill, George Roy",8,No,"Hawaii: a Sydow, Max von and Andrews, Julie film’s, directed by Hill, George Roy"
1966,125,Torn Curtain,Mystery,"Newman, Paul","Andrews, Julie","Hitchcock, Alfred",35,No,"Torn Curtain: a Newman, Paul and Andrews, Julie film’s, directed by Hitchcock, Alfred"
1966,175,Is Paris Burning?,War,"Belmondo, Jean-Paul","Caron, Leslie","Cl�ment, Ren�",63,No,"Is Paris Burning?: a Belmondo, Jean-Paul and Caron, Leslie film’s, directed by Cl�ment, Ren�"
1966,99,"Appaloosa, The",Western,"Brando, Marlon","Comer, Anjanette","Furie, Sidney J.",15,No,"Appaloosa, The: a Brando, Marlon and Comer, Anjanette film’s, directed by Furie, Sidney J."
1966,103,After the Fox,Comedy,"Sellers, Peter","Ekland, Britt","De Sica, Vittorio",60,No,"After the Fox: a Sellers, Peter and Ekland, Britt film’s, directed by De Sica, Vittorio"
1966,95,Masculine Feminine,Drama,"Leaud, Jean-Pierre","Goya, Chantal","Godard, Jean-Luc",20,No,"Masculine Feminine: a Leaud, Jean-Pierre and Goya, Chantal film’s, directed by Godard, Jean-Luc"
1966,120,A Man for All Seasons,Drama,"Shaw, Robert","Hiller, Wendy","Zinnemann, Fred",20,Yes,"A Man for All Seasons: a Shaw, Robert and Hiller, Wendy film’s, directed by Zinnemann, Fred"
1966,127,"Russians Are Coming, the Russians Are, The",Comedy,"Reiner, Carl","Saint, Eva Marie","Jewison, Norman",79,Yes,"Russians Are Coming, the Russians Are, The: a Reiner, Carl and Saint, Eva Marie film’s, directed by Jewison, Norman"
1966,102,Johnny Tiger,Drama,"Taylor, Robert","Scott, Brenda","Wendkos, Paul",69,No,"Johnny Tiger: a Taylor, Robert and Scott, Brenda film’s, directed by Wendkos, Paul"
1966,81,Persona,Drama,"Bj�rnstrand, Gunnar","Ullman, Liv","Bergman, Ingmar",81,Yes,"Persona: a Bj�rnstrand, Gunnar and Ullman, Liv film’s, directed by Bergman, Ingmar"
1966,101,"Shoot Loud, Louder, I Don't Understand!",Mystery,"Mastroianni, Marcello","Welch, Raquel","De Filippo, Eduardo",70,No,"Shoot Loud, Louder, I Don't Understand!: a Mastroianni, Marcello and Welch, Raquel film’s, directed by De Filippo, Eduardo"
1966,126,"Fortune Cookie, The",Comedy,"Lemmon, Jack","West, Judi","Wilder, Billy",3,Yes,"Fortune Cookie, The: a Lemmon, Jack and West, Judi film’s, directed by Wilder, Billy"
1966,95,A Big Hand for the Little Lady,Comedy,"Fonda, Henry","Woodward, Joanne","Cook, Fielder",12,No,"A Big Hand for the Little Lady: a Fonda, Henry and Woodward, Joanne film’s, directed by Cook, Fielder"
1966,104,A Fine Madness,Comedy,"Connery, Sean","Woodward, Joanne","Kershner, Irvin",6,No,"A Fine Madness: a Connery, Sean and Woodward, Joanne film’s, directed by Kershner, Irvin"
1966,103,"Quiller Memorandum, The",Mystery,"Segal, George",,"Anderson, Michael",34,No,
1966,107,"Wrong Box, The",Comedy,"Mills, John",,"Forbes, Bryan",40,No,
1966,76,Flight to Fury,Action,"Nicholson, Jack",,"Hellman, Monte",70,No,
1966,82,Ride in the Whirlwind,Western,"Nicholson, Jack",,"Hellman, Monte",26,No,
1966,123,Closely Watched Trains,Drama,"Neckar, Vaclav",,"Menzel, Jiri",75,Yes,
1967,130,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken",11,No,"Casino Royale: a Niven, David and Andress, Ursula film’s, directed by Hughes, Ken"
1967,100,"A Coeur Joie, (Head Over Heels)",Action,"Terzieff, Laurent","Bardot, Brigitte","Bourguignon, Serge",54,No,"A Coeur Joie, (Head Over Heels): a Terzieff, Laurent and Bardot, Brigitte film’s, directed by Bourguignon, Serge"
1967,111,Hombre,Western,"Newman, Paul","Cilento, Diane","Ritt, Martin",50,No,"Hombre: a Newman, Paul and Cilento, Diane film’s, directed by Ritt, Martin"
1967,90,Elvira Madigan,Drama,"Berggren, Thommy","Degermark, Pia","Widerberg, Bo",28,No,"Elvira Madigan: a Berggren, Thommy and Degermark, Pia film’s, directed by Widerberg, Bo"
1967,103,"Bobo, The",Comedy,"Sellers, Peter","Ekland, Britt","Parrish, Robert",80,No,"Bobo, The: a Sellers, Peter and Ekland, Britt film’s, directed by Parrish, Robert"
1967,108,Guess Who's Coming to Dinner,Drama,"Tracy, Spencer","Hepburn, Katharine","Kramer, Stanley",50,Yes,"Guess Who's Coming to Dinner: a Tracy, Spencer and Hepburn, Katharine film’s, directed by Kramer, Stanley"
1967,99,Woman Times Seven,Comedy,"Sellers, Peter","MacLaine, Shirley","De Sica, Vittorio",36,No,"Woman Times Seven: a Sellers, Peter and MacLaine, Shirley film’s, directed by De Sica, Vittorio"
1967,81,"Glory Stompers, The",Action,"Hopper, Dennis","McCrea, Jody","Lanza, Anthony M.",27,No,"Glory Stompers, The: a Hopper, Dennis and McCrea, Jody film’s, directed by Lanza, Anthony M."
1967,114,Hang 'em High,Western,"Eastwood, Clint","Stevens, Inger","Post, Ted",67,No,"Hang 'em High: a Eastwood, Clint and Stevens, Inger film’s, directed by Post, Ted"
1967,85,"Trip, The",Drama,"Fonda, Peter","Strasberg, Susan","Corman, Roger",64,No,"Trip, The: a Fonda, Peter and Strasberg, Susan film’s, directed by Corman, Roger"
1967,109,Reflections in a Golden Eye,Drama,"Brando, Marlon","Taylor, Elizabeth","Huston, John",81,No,"Reflections in a Golden Eye: a Brando, Marlon and Taylor, Elizabeth film’s, directed by Huston, John"
1967,127,Cool Hand Luke,Drama,"Newman, Paul","Van Fleet, Jo","Rosenberg, Stuart",49,Yes,"Cool Hand Luke: a Newman, Paul and Van Fleet, Jo film’s, directed by Rosenberg, Stuart"
1967,107,Bedazzled,Comedy,"Cook, Peter","Welch, Raquel","Donen, Stanley",67,No,"Bedazzled: a Cook, Peter and Welch, Raquel film’s, directed by Donen, Stanley"
1967,85,"Thirty Is a Dangerous Age, Cynthia",Comedy,"Moore, Dudley",,"McGrath, Joseph",28,No,
1967,105,Chuka,Western,"Taylor, Rod",,,47,No,
1968,113,Shalako,Westerns,"Connery, Sean","Bardot, Brigitte","Dmytryk, Edward",0,No,"Shalako: a Connery, Sean and Bardot, Brigitte film’s, directed by Dmytryk, Edward"
1968,103,Charly,Drama,"Robertson, Cliff","Bloom, Claire","Nelson, Ralph",38,Yes,"Charly: a Robertson, Cliff and Bloom, Claire film’s, directed by Nelson, Ralph"
1968,103,Coogan's Bluff,Action,"Eastwood, Clint","Clark, Susan","Siegel, Don",57,No,"Coogan's Bluff: a Eastwood, Clint and Clark, Susan film’s, directed by Siegel, Don"
1968,134,"Lion in Winter, THe",Drama,"O'Toole, Peter","Hepburn, Katharine","Harvey, Anthony",78,Yes,"Lion in Winter, THe: a O'Toole, Peter and Hepburn, Katharine film’s, directed by Harvey, Anthony"
1968,,"Bliss of Mrs. Blossom, The",Comedy,"Booth, James","MacLaine, Shirley","McGrath, Joseph",86,No,"Bliss of Mrs. Blossom, The: a Booth, James and MacLaine, Shirley film’s, directed by McGrath, Joseph"
1968,90,"Producers, The",Comedy,"Wilder, Gene","Mostel, Zero","Brooks, Mel",33,No,"Producers, The: a Wilder, Gene and Mostel, Zero film’s, directed by Brooks, Mel"
1968,121,Hellfighters,Action,"Wayne, John","Ross, Katharine","McLaglen, Andrew V.",22,No,"Hellfighters: a Wayne, John and Ross, Katharine film’s, directed by McLaglen, Andrew V."
1968,105,Partner,Drama,"Clementi, Pierre","Sandrelli, Stefania","Bertolucci, Bernardo",26,No,"Partner: a Clementi, Pierre and Sandrelli, Stefania film’s, directed by Bertolucci, Bernardo"
1968,360,War & Peace,Drama,"Tikhonov, Vyacheslav","Savelyeva, Lyudmila","Bondarchuk, Sergei",80,Yes,"War & Peace: a Tikhonov, Vyacheslav and Savelyeva, Lyudmila film’s, directed by Bondarchuk, Sergei"
1968,151,Funny Girl,Music,"Sharif, Omar","Streisand, Barbra","Wyler, William",30,Yes,"Funny Girl: a Sharif, Omar and Streisand, Barbra film’s, directed by Wyler, William"
1968,109,Secret Ceremony,Drama,"Mitchum, Robert","Taylor, Elizabeth","Losey, Joseph",60,No,"Secret Ceremony: a Mitchum, Robert and Taylor, Elizabeth film’s, directed by Losey, Joseph"
1968,139,2001: A Space Odyssey,Science Fiction,"Dullea, Keir","Tyzack, Margaret","Kubrick, Stanley",83,No,"2001: A Space Odyssey: a Dullea, Keir and Tyzack, Margaret film’s, directed by Kubrick, Stanley"
1968,88,Hour of the Wolf,Drama,"Sydow, Max von","Ullman, Liv","Bergman, Ingmar",37,No,"Hour of the Wolf: a Sydow, Max von and Ullman, Liv film’s, directed by Bergman, Ingmar"
1968,158,Where Eagles Dare,War,"Burton, Richard","Ure, Mary","Hulton, Brian G.",57,No,"Where Eagles Dare: a Burton, Richard and Ure, Mary film’s, directed by Hulton, Brian G."
1968,106,Bandolero!,Western,"Stewart, James","Welch, Raquel","McLaglen, Andrew V.",9,No,"Bandolero!: a Stewart, James and Welch, Raquel film’s, directed by McLaglen, Andrew V."
1968,100,"Scalphunters, The",Western,"Lancaster, Burt","Winters, Shelley","Pollack, Sydney",33,No,"Scalphunters, The: a Lancaster, Burt and Winters, Shelley film’s, directed by Pollack, Sydney"
1968,102,"Rachel, Rachel",Drama,"Olson, James","Woodward, Joanne","Newman, Paul",32,No,"Rachel, Rachel: a Olson, James and Woodward, Joanne film’s, directed by Newman, Paul"
1968,73,"Firemen's Ball, The",Comedy,"Vostrcil, Jan",,"Forman, Milos",8,No,
1968,133,"Green Berets, The",War,"Wayne, John",,"Kellogg, Ray",36,No,
1968,,"Secret War of Harry Frigg, The",Comedy,"Newman, Paul",,,28,No,
1969,86,"Women, The",Drama,"Ronet, Maurice","Bardot, Brigitte","Aurel, Jean",66,No,"Women, The: a Ronet, Maurice and Bardot, Brigitte film’s, directed by Aurel, Jean"
1969,98,A Walk in the Spring Rain,Drama,"Quinn, Anthony","Bergman, Ingrid","Green, Guy",2,No,"A Walk in the Spring Rain: a Quinn, Anthony and Bergman, Ingrid film’s, directed by Green, Guy"
1969,103,Cactus Flower,Comedy,"Matthau, Walter","Bergman, Ingrid","Saks, Gene",67,Yes,"Cactus Flower: a Matthau, Walter and Bergman, Ingrid film’s, directed by Saks, Gene"
1969,94,Easy Rider,Drama,"Fonda, Peter","Black, Karen","Hopper, Dennis",36,No,"Easy Rider: a Fonda, Peter and Black, Karen film’s, directed by Hopper, Dennis"
1969,128,True Grit,Western,"Wayne, John","Darby, Kim","Hathaway, Henry",77,Yes,"True Grit: a Wayne, John and Darby, Kim film’s, directed by Hathaway, Henry"
1969,125,Those Daring Young Men in Their Jaunty,Comedy,"Curtis, Tony","Hampshire, Susan",,59,No,
1969,102,"Rain People, The",Drama,"Caan, James","Knight, Shirley","Coppola, Francis Ford",78,No,"Rain People, The: a Caan, James and Knight, Shirley film’s, directed by Coppola, Francis Ford"
1969,80,Rebel Rousers,Action,"Nicholson, Jack","Ladd, Diane","Cohen, Martin B.",44,No,"Rebel Rousers: a Nicholson, Jack and Ladd, Diane film’s, directed by Cohen, Martin B."
1969,101,Smith!,Western,"Ford, Glenn","Olson, Nancy","O'Herlihy, Michael",62,No,"Smith!: a Ford, Glenn and Olson, Nancy film’s, directed by O'Herlihy, Michael"
1969,127,Z,Drama,"Montand, Yves","Papas, Irene",Costa-Gavras,72,Yes,"Z: a Montand, Yves and Papas, Irene film’s, directed by Costa-Gavras"
1969,114,Hamlet,Drama,"Williamson, Nicol","Parfitt, Judy","Richardson, Tony",39,No,"Hamlet: a Williamson, Nicol and Parfitt, Judy film’s, directed by Richardson, Tony"
1969,135,On Her Majesty's Secret Service,Action,"Lazenby, George","Rigg, Diana","Hunt, Peter R.",66,No,"On Her Majesty's Secret Service: a Lazenby, George and Rigg, Diana film’s, directed by Hunt, Peter R."
1969,110,Butch Cassidy & the Sundance Kid,Western,"Newman, Paul","Ross, Katharine","Hill, George Roy",29,Yes,"Butch Cassidy & the Sundance Kid: a Newman, Paul and Ross, Katharine film’s, directed by Hill, George Roy"
1969,101,"Passion of Anna, The",Drama,"Sydow, Max von","Ullman, Liv","Bergman, Ingmar",6,No,"Passion of Anna, The: a Sydow, Max von and Ullman, Liv film’s, directed by Bergman, Ingmar"
1969,110,One Hundred Rifles,Western,"Reynolds, Burt","Welch, Raquel","Gries, Tom",48,No,"One Hundred Rifles: a Reynolds, Burt and Welch, Raquel film’s, directed by Gries, Tom"
1969,126,Topaz,Mystery,"Forsythe, John",,"Hitchcock, Alfred",12,No,
1969,161,Paint Your Wagon,Music,"Marvin, Lee",,"Logan, Joshua",46,No,
1969,144,"Wild Bunch, The",Western,"Holden, William",,"Peckinpah, Sam",50,No,
1969,123,Midnight Cowboy,Drama,"Hoffman, Dustin",,"Schlesinger, John",33,Yes,
1970,126,Getting Straight,Comedy,"Gould, Elliott","Bergen, Candice","Rush, Richard",83,No,"Getting Straight: a Gould, Elliott and Bergen, Candice film’s, directed by Rush, Richard"
1970,94,Think Dirty,Comedy,"Feldman, Marty","Berman, Shelley","Clark, Jim",31,No,"Think Dirty: a Feldman, Marty and Berman, Shelley film’s, directed by Clark, Jim"
1970,137,Airport,Drama,"Lancaster, Burt","Bisset, Jacqueline","Seaton, George",0,Yes,"Airport: a Lancaster, Burt and Bisset, Jacqueline film’s, directed by Seaton, George"
1970,26,Bloopers from Star Trek,Comedy,"Lawford, Peter","Channing, Carol",,22,No,
1970,123,"Molly Maguires, The",Action,"Connery, Sean","Eggar, Samantha","Ritt, Martin",3,No,"Molly Maguires, The: a Connery, Sean and Eggar, Samantha film’s, directed by Ritt, Martin"
1970,94,There's a Girl in My Soup,Comedy,"Sellers, Peter","Hawn, Goldie","Boulting, Roy",41,No,"There's a Girl in My Soup: a Sellers, Peter and Hawn, Goldie film’s, directed by Boulting, Roy"
1970,129,Women in Love.,Drama,"Bates, Alan","Jackson, Glenda","Russell, Ken",18,No,"Women in Love.: a Bates, Alan and Jackson, Glenda film’s, directed by Russell, Ken"
1970,130,Fellini Satyricon,Drama,"Potter, Martin","Keller, Hiram","Fellini, Federico",88,No,"Fellini Satyricon: a Potter, Martin and Keller, Hiram film’s, directed by Fellini, Federico"
1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy,"Wilder, Gene","Kidder, Margot","Waris, Hussein",49,No,"Quackser Fortune Has a Cousin in the Bronx: a Wilder, Gene and Kidder, Margot film’s, directed by Waris, Hussein"
1970,105,Two Mules for Sister Sara,Western,"Eastwood, Clint","MacLaine, Shirley","Siegel, Don",36,No,"Two Mules for Sister Sara: a Eastwood, Clint and MacLaine, Shirley film’s, directed by Siegel, Don"
1970,194,Ryan's Daughter,Drama,"Mitchum, Robert","Miles, Sarah","Lean, David",81,Yes,"Ryan's Daughter: a Mitchum, Robert and Miles, Sarah film’s, directed by Lean, David"
1970,99,Monte Walsh,Western,"Marvin, Lee","Moreau, Jeanne","Fraker, William A.",29,No,"Monte Walsh: a Marvin, Lee and Moreau, Jeanne film’s, directed by Fraker, William A."
1970,91,"Man Who Haunted Himself, The",Drama,"Moore, Roger","Neil, Hildegard","Dearden, Basil",75,No,"Man Who Haunted Himself, The: a Moore, Roger and Neil, Hildegard film’s, directed by Dearden, Basil"
1970,100,Adam at 6 A.M.,Drama,"Douglas, Michael","Purcell, Lee","Scheerer, Robert",3,No,"Adam at 6 A.M.: a Douglas, Michael and Purcell, Lee film’s, directed by Scheerer, Robert"
1970,107,"Conformist, The",Drama,"Trintignant, Jean-Louis","Sandrelli, Stefania","Bertolucci, Bernardo",72,No,"Conformist, The: a Trintignant, Jean-Louis and Sandrelli, Stefania film’s, directed by Bertolucci, Bernardo"
1970,129,On a Clear Day You Can See Forever,Music,"Montand, Yves","Streisand, Barbra","Minnelli, Vincente",67,No,"On a Clear Day You Can See Forever: a Montand, Yves and Streisand, Barbra film’s, directed by Minnelli, Vincente"
1970,140,Dodesukaden,Drama,"Zushi, Yoshitaka","Sugai, Kin","Kurosawa, Akira",75,No,"Dodesukaden: a Zushi, Yoshitaka and Sugai, Kin film’s, directed by Kurosawa, Akira"
1970,97,Spider's Stratagem,Drama,"Brogi, Giulio","Valli, Alida","Bertolucci, Bernardo",45,No,"Spider's Stratagem: a Brogi, Giulio and Valli, Alida film’s, directed by Bertolucci, Bernardo"
1970,91,Start the Revolution Without Me,Comedy,"Wilder, Gene","Whitelaw, Billie","Yorkin, Bud",62,No,"Start the Revolution Without Me: a Wilder, Gene and Whitelaw, Billie film’s, directed by Yorkin, Bud"
