Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1955,90,Doctor at Sea,Comedy,"Bogarde, Dirk","Bardot, Brigitte","Thomas, Ralph",83,No,"Doctor at Sea: a Bogarde, Dirk and Bardot, Brigitte film’s, directed by Thomas, Ralph"
1988,83,Nadine,Comedy,"Bridges, Jeff","Basinger, Kim","Benton, Robert",47,No,"Nadine: a Bridges, Jeff and Basinger, Kim film’s, directed by Benton, Robert"
1987,95,Blind Date,Comedy,"Willis, Bruce","Basinger, Kim","Edwards, Blake",7,No,"Blind Date: a Willis, Bruce and Basinger, Kim film’s, directed by Edwards, Blake"
1991,116,"Marrying Man, The",Comedy,"Baldwin, Alec","Basinger, Kim","Rees, Jerry",84,No,"Marrying Man, The: a Baldwin, Alec and Basinger, Kim film’s, directed by Rees, Jerry"
1989,103,Vampire's Kiss,Comedy,"Cage, Nicolas","Beals, Jennifer",,49,No,
1972,100,Pocket Money,Comedy,"Newman, Paul","Belford, Christine","Rosenberg, Stuart",55,No,"Pocket Money: a Newman, Paul and Belford, Christine film’s, directed by Rosenberg, Stuart"
1982,,"Catch a Rising Star, Tenth Anniversary",Comedy,"Belzer, Richard","Benatar, Pat",,18,No,
1985,55,Rowlf's Rhapsodies with the Muppets,Comedy,"Burns, George","Berenson, Marisa",,79,No,
1970,126,Getting Straight,Comedy,"Gould, Elliott","Bergen, Candice","Rush, Richard",83,No,"Getting Straight: a Gould, Elliott and Bergen, Candice film’s, directed by Rush, Richard"
1935,75,"Count of Old Town, The",Comedy,"Adolphson, Edvin","Bergman, Ingrid","Adolphson, Edvin",72,No,"Count of Old Town, The: a Adolphson, Edvin and Bergman, Ingrid film’s, directed by Adolphson, Edvin"
1969,103,Cactus Flower,Comedy,"Matthau, Walter","Bergman, Ingrid","Saks, Gene",67,Yes,"Cactus Flower: a Matthau, Walter and Bergman, Ingrid film’s, directed by Saks, Gene"
1989,105,Hideaways,Comedy,"Conover, Bruce","Bergman, Ingrid",,16,No,
1970,94,Think Dirty,Comedy,"Feldman, Marty","Berman, Shelley","Clark, Jim",31,No,"Think Dirty: a Feldman, Marty and Berman, Shelley film’s, directed by Clark, Jim"
1983,60,"Best of the Big Laff Off, The",Comedy,"Murphy, Eddie","Bernhard, Sandra",,20,No,
1952,107,Secrets of Women,Comedy,"Malmsten, Birger","Bj�rk, Anita","Bergman, Ingmar",66,No,"Secrets of Women: a Malmsten, Birger and Bj�rk, Anita film’s, directed by Bergman, Ingmar"
1993,60,"Bill Cosby, Live at Harrah's",Comedy,"Cosby, Bill","Boosler, Elayne",,13,No,
1974,89,Monty Python & the Holy Grail,Comedy,"Chapman, Graham","Booth, Connie","Gilliam, Terry",83,No,"Monty Python & the Holy Grail: a Chapman, Graham and Booth, Connie film’s, directed by Gilliam, Terry"
1993,65,John Cleese on How to Irritate People,Comedy,"Cleese, John","Booth, Connie",,62,No,
1958,101,"Matchmaker, The",Comedy,"Perkins, Anthony","Booth, Shirley","Anthony, Joseph",67,No,"Matchmaker, The: a Perkins, Anthony and Booth, Shirley film’s, directed by Anthony, Joseph"
1987,91,Firehouse,Comedy,"Hopkins, Barrett","Brown, Violet","Ingvordsen, J. Christian",66,No,"Firehouse: a Hopkins, Barrett and Brown, Violet film’s, directed by Ingvordsen, J. Christian"
1975,112,Alice Doesn't Live Here Anymore,Comedy,"Kristofferson, Kris","Burstyn, Ellen",,82,Yes,
1989,114,School Daze,Comedy,"Fishburne, Larry","Campbell, Tisha","Lee, Spike",18,No,"School Daze: a Fishburne, Larry and Campbell, Tisha film’s, directed by Lee, Spike"
1983,50,"Father Murphy, A Horse from Heaven",Comedy,"Olsen, Merlin","Cannon, Katharine","Claxton, William F.",28,No,"Father Murphy, A Horse from Heaven: a Olsen, Merlin and Cannon, Katharine film’s, directed by Claxton, William F."
1984,94,Best Defense,Comedy,"Moore, Dudley","Capshaw, Kate","Huyck, Willard",75,No,"Best Defense: a Moore, Dudley and Capshaw, Kate film’s, directed by Huyck, Willard"
1986,71,Paramount Comedy Theater: Well-Developed,Comedy,"Mahler, Bruce","Carter, Judy",,40,No,
1990,107,Gremlins 2: The New Batch,Comedy,"Galligan, Zach","Cates, Phoebe","Dante, Joe",61,No,"Gremlins 2: The New Batch: a Galligan, Zach and Cates, Phoebe film’s, directed by Dante, Joe"
1982,92,Fast Times at Ridgemont High,Comedy,"Penn, Sean","Cates, Phoebe","Heckerling, Amy",65,No,"Fast Times at Ridgemont High: a Penn, Sean and Cates, Phoebe film’s, directed by Heckerling, Amy"
1987,,Mannequin,Comedy,"McCarthy, Andrew","Cattrall, Kim","Gottlieb, Michael",23,No,"Mannequin: a McCarthy, Andrew and Cattrall, Kim film’s, directed by Gottlieb, Michael"
1990,,"Party, The",Comedy,"Sellers, Peter","Champion, Marge","Edwards, Blake",32,No,"Party, The: a Sellers, Peter and Champion, Marge film’s, directed by Edwards, Blake"
1970,26,Bloopers from Star Trek,Comedy,"Lawford, Peter","Channing, Carol",,22,No,
1992,99,Party Girl,Comedy,"Taylor, Robert","Charisse, Cyd","Ray, Nicholas",85,No,"Party Girl: a Taylor, Robert and Charisse, Cyd film’s, directed by Ray, Nicholas"
1987,103,Moonstruck,Comedy,"Cage, Nicholas",Cher,"Jewison, Norman",6,Yes,"Moonstruck: a Cage, Nicholas and Cher film’s, directed by Jewison, Norman"
1987,119,"Witches of Eastwick, The",Comedy,"Nicholson, Jack",Cher,"Miller, George",8,No,"Witches of Eastwick, The: a Nicholson, Jack and Cher film’s, directed by Miller, George"
1986,88,Running Out of Luck,Comedy,"Jagger, Mick","Chong, Rae Dawn",,16,No,
1975,109,Shampoo,Comedy,"Beatty, Warren","Christie, Julie","Ashby, Hal",69,Yes,"Shampoo: a Beatty, Warren and Christie, Julie film’s, directed by Ashby, Hal"
1931,68,Ambassador Bill,Comedy,"Rogers, Will","Churchill, Marguerite","Taylor, Sam",66,No,"Ambassador Bill: a Rogers, Will and Churchill, Marguerite film’s, directed by Taylor, Sam"
1989,91,Penn & Teller Get Killed,Comedy,"Penn, Jillette","Clarke, Caitlin","Penn, Arthur",12,No,"Penn & Teller Get Killed: a Penn, Jillette and Clarke, Caitlin film’s, directed by Penn, Arthur"
1980,91,It's My Turn,Comedy,"Douglas, Michael","Clayburgh, Jill","Weill, Claudia",0,No,"It's My Turn: a Douglas, Michael and Clayburgh, Jill film’s, directed by Weill, Claudia"
1991,119,Meeting Venus,Comedy,"Arestrup, Niels","Close, Glenn","Szab�, Istv�n",74,No,"Meeting Venus: a Arestrup, Niels and Close, Glenn film’s, directed by Szab�, Istv�n"
1987,101,Like Father Like Son,Comedy,"Cameron, Kirk","Colin, Margaret","Daniel, Rod",20,No,"Like Father Like Son: a Cameron, Kirk and Colin, Margaret film’s, directed by Daniel, Rod"
1962,91,Road to Hong Kong,Comedy,"Hope, Bob","Collins, Joan","Panama, Norman",37,No,"Road to Hong Kong: a Hope, Bob and Collins, Joan film’s, directed by Panama, Norman"
1989,108,Shirley Valentine,Comedy,"Conti, Tom","Collins, Pauline","Gilbert, Lewis",51,No,"Shirley Valentine: a Conti, Tom and Collins, Pauline film’s, directed by Gilbert, Lewis"
1986,88,Seven Minutes in Heaven,Comedy,"Thames, Byron","Connelly, Jennifer","Feferman, Linda",49,No,"Seven Minutes in Heaven: a Thames, Byron and Connelly, Jennifer film’s, directed by Feferman, Linda"
1961,66,Tonight for Sure,Comedy,"Lee, Karla","Cornell, Laura","Coppola, Francis Ford",4,No,"Tonight for Sure: a Lee, Karla and Cornell, Laura film’s, directed by Coppola, Francis Ford"
1977,123,Slap Shot,Comedy,"Newman, Paul","Crouse, Lindsay","Hill, George Roy",82,No,"Slap Shot: a Newman, Paul and Crouse, Lindsay film’s, directed by Hill, George Roy"
1987,109,O. C. & Stiggs,Comedy,"Jenkins, Daniel H.","Curtin, Jane","Altman, Robert",3,No,"O. C. & Stiggs: a Jenkins, Daniel H. and Curtin, Jane film’s, directed by Altman, Robert"
1988,108,A Fish Called Wanda,Comedy,"Cleese, John","Curtis, Jamie Lee","Crichton, Charles",7,Yes,"A Fish Called Wanda: a Cleese, John and Curtis, Jamie Lee film’s, directed by Crichton, Charles"
1954,96,A Lesson in Love,Comedy,"Bj�rnstrand, Gunnar","Dahlbeck, Eva","Bergman, Ingmar",48,No,"A Lesson in Love: a Bj�rnstrand, Gunnar and Dahlbeck, Eva film’s, directed by Bergman, Ingmar"
1989,97,National Lampoon's Christmas Vacation,Comedy,"Chase, Chevy","D'Angelo, Beverly","S, Jeremiah",81,No,"National Lampoon's Christmas Vacation: a Chase, Chevy and D'Angelo, Beverly film’s, directed by S, Jeremiah"
1990,106,Alice,Comedy,"Baldwin, Alec","Danner, Blythe","Allen, Woody",22,No,"Alice: a Baldwin, Alec and Danner, Blythe film’s, directed by Allen, Woody"
1990,89,Quick Change,Comedy,"Murray, Bill","Davis, Geena","Franklin, Howard",24,No,"Quick Change: a Murray, Bill and Davis, Geena film’s, directed by Franklin, Howard"
1983,99,Risky Business,Comedy,"Cruise, Tom","DeMornay, Rebecca","Brickman, Paul",28,No,"Risky Business: a Cruise, Tom and DeMornay, Rebecca film’s, directed by Brickman, Paul"
1990,56,"Best of Candid Camera, The",Comedy,"Allen, Woody","Dickinson, Angie",,12,No,
1989,60,Minsky's Follies,Comedy,"Taylor, Rip","Diller, Phyllis",,12,No,
1990,97,"Novice, The",Comedy,"Sharif, Omar","Dombasle, Arielle",,72,No,
1991,99,Delicatessen,Comedy,"Benezech, Pascal","Dougnac, Marie-Laure","Caro, Marc",78,No,"Delicatessen: a Benezech, Pascal and Dougnac, Marie-Laure film’s, directed by Caro, Marc"
1985,90,Fantasy Man,Comedy,"Hopkins, Harold","Drynan, Jeanie","Meagher, John",82,No,"Fantasy Man: a Hopkins, Harold and Drynan, Jeanie film’s, directed by Meagher, John"
1986,87,Monster in the Closet,Comedy,"Grant, Donald","DuBarry, Denise","Dahlin, Bob",39,No,"Monster in the Closet: a Grant, Donald and DuBarry, Denise film’s, directed by Dahlin, Bob"
1976,116,Network,Comedy,"Finch, Peter","Dunaway, Faye","Lumet, Sidney",48,Yes,"Network: a Finch, Peter and Dunaway, Faye film’s, directed by Lumet, Sidney"
1947,118,Life with Father,Comedy,"Powell, William","Dunne, Irene","Curtiz, Michael",10,No,"Life with Father: a Powell, William and Dunne, Irene film’s, directed by Curtiz, Michael"
1981,117,Time Bandits,Comedy,"Cleese, John","Duvall, Shelley","Gilliam, Terry",5,No,"Time Bandits: a Cleese, John and Duvall, Shelley film’s, directed by Gilliam, Terry"
1993,92,"Naked Truth, The",Comedy,"Sellers, Peter","Eaton, Shirley",,34,No,
1984,105,Beverly Hills Cop,Comedy,"Murphy, Eddie","Eilbacher, Lisa","Brest, Martin",41,No,"Beverly Hills Cop: a Murphy, Eddie and Eilbacher, Lisa film’s, directed by Brest, Martin"
1966,103,After the Fox,Comedy,"Sellers, Peter","Ekland, Britt","De Sica, Vittorio",60,No,"After the Fox: a Sellers, Peter and Ekland, Britt film’s, directed by De Sica, Vittorio"
1967,103,"Bobo, The",Comedy,"Sellers, Peter","Ekland, Britt","Parrish, Robert",80,No,"Bobo, The: a Sellers, Peter and Ekland, Britt film’s, directed by Parrish, Robert"
1985,84,"Purple Rose of Cairo, The",Comedy,"Aiello, Danny","Farrow, Mia","Allen, Woody",20,Yes,"Purple Rose of Cairo, The: a Aiello, Danny and Farrow, Mia film’s, directed by Allen, Woody"
1984,85,Broadway Danny Rose,Comedy,"Allen, Woody","Farrow, Mia","Allen, Woody",14,No,"Broadway Danny Rose: a Allen, Woody and Farrow, Mia film’s, directed by Allen, Woody"
1992,108,Husbands & Wives,Comedy,"Allen, Woody","Farrow, Mia","Allen, Woody",80,No,"Husbands & Wives: a Allen, Woody and Farrow, Mia film’s, directed by Allen, Woody"
1986,103,Hannah & Her Sisters,Comedy,"Caine, Michael","Farrow, Mia","Allen, Woody",8,Yes,"Hannah & Her Sisters: a Caine, Michael and Farrow, Mia film’s, directed by Allen, Woody"
1981,96,"Cannonball Run, The",Comedy,"Reynolds, Burt","Fawcett, Farrah","Needham, Hal",80,No,"Cannonball Run, The: a Reynolds, Burt and Fawcett, Farrah film’s, directed by Needham, Hal"
1936,70,Doughnuts & Society,Comedy,"Nugent, Eddie","Fazenda, Louise","Collins, Lewis D.",28,No,"Doughnuts & Society: a Nugent, Eddie and Fazenda, Louise film’s, directed by Collins, Lewis D."
1987,95,Surrender,Comedy,"Caine, Michael","Field, Sally","Belson, Jerry",84,No,"Surrender: a Caine, Michael and Field, Sally film’s, directed by Belson, Jerry"
1989,101,"Burbs, The",Comedy,"Hanks, Tom","Fisher, Carrie","Dante, Joe",42,No,"Burbs, The: a Hanks, Tom and Fisher, Carrie film’s, directed by Dante, Joe"
1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy,"Dengel, Jake","Fletcher, Suzanne","Smithey, Alan",79,No,"Bloodsucking Pharaohs in Pittsburgh: a Dengel, Jake and Fletcher, Suzanne film’s, directed by Smithey, Alan"
1979,113,"Electric Horseman, The",Comedy,"Redford, Robert","Fonda, Jane","Pollack, Sydney",34,No,"Electric Horseman, The: a Redford, Robert and Fonda, Jane film’s, directed by Pollack, Sydney"
1965,97,Cat Ballou,Comedy,"Marvin, Lee","Fonda, Jane","Silverstein, Elliot",62,Yes,"Cat Ballou: a Marvin, Lee and Fonda, Jane film’s, directed by Silverstein, Elliot"
1983,95,Valley Girl,Comedy,"Cage, Nicolas","Foreman, Deborah","Coolidge, Martha",30,No,"Valley Girl: a Cage, Nicolas and Foreman, Deborah film’s, directed by Coolidge, Martha"
1972,92,Napoleon & Samantha,Comedy,"Douglas, Michael","Foster, Jodie","McEveety, Bernard",33,No,"Napoleon & Samantha: a Douglas, Michael and Foster, Jodie film’s, directed by McEveety, Bernard"
1987,92,Back to the Beach,Comedy,"Avalon, Frankie","Funicello, Annette","Hobbs, Lyndall",45,No,"Back to the Beach: a Avalon, Frankie and Funicello, Annette film’s, directed by Hobbs, Lyndall"
1939,108,Ninotchka,Comedy,"Douglas, Melvyn","Garbo, Greta","Lubitsch, Ernst",40,No,"Ninotchka: a Douglas, Melvyn and Garbo, Greta film’s, directed by Lubitsch, Ernst"
1982,116,Tootsie,Comedy,"Hoffman, Dustin","Garr, Teri","Pollack, Sydney",8,Yes,"Tootsie: a Hoffman, Dustin and Garr, Teri film’s, directed by Pollack, Sydney"
1989,86,Let It Ride,Comedy,"Dreyfuss, Richard","Garr, Teri","Pytka, Joe",88,No,"Let It Ride: a Dreyfuss, Richard and Garr, Teri film’s, directed by Pytka, Joe"
1979,120,Nineteen Forty-One,Comedy,"Belushi, John","Gary, Lorraine","Spielberg, Steven",24,No,"Nineteen Forty-One: a Belushi, John and Gary, Lorraine film’s, directed by Spielberg, Steven"
1979,89,Buffet Froid,Comedy,"Depardieu, G�rard","Gence, Denise","Blier, Bertrand",75,No,"Buffet Froid: a Depardieu, G�rard and Gence, Denise film’s, directed by Blier, Bertrand"
1987,102,Burglar,Comedy,"Goldthwait, Bob","Goldberg, Whoopi","Wilson, Hugh",44,No,"Burglar: a Goldthwait, Bob and Goldberg, Whoopi film’s, directed by Wilson, Hugh"
1986,120,Comic Relief,Comedy,"Crystal, Billy","Goldberg, Whoopi",,69,No,
1991,,Why Me?,Comedy,"Lambert, Christopher","Greist, Kim",,74,No,
1988,115,Working Girl,Comedy,"Ford, Harrison","Griffith, Melanie","Nichols, Mike",25,No,"Working Girl: a Ford, Harrison and Griffith, Melanie film’s, directed by Nichols, Mike"
1988,99,Tokyo Pop,Comedy,"Tadokoro, Yutaka","Hamilton, Carrie","Kuzui, Fran Rubel",2,No,"Tokyo Pop: a Tadokoro, Yutaka and Hamilton, Carrie film’s, directed by Kuzui, Fran Rubel"
1969,125,Those Daring Young Men in Their Jaunty,Comedy,"Curtis, Tony","Hampshire, Susan",,59,No,
1990,,Crazy People,Comedy,"Moore, Dudley","Hannah, Daryl","Bill, Tony",61,No,"Crazy People: a Moore, Dudley and Hannah, Daryl film’s, directed by Bill, Tony"
1992,99,Memoirs of an Invisible Man,Comedy,"Chase, Chevy","Hannah, Daryl","Carpenter, John",58,No,"Memoirs of an Invisible Man: a Chase, Chevy and Hannah, Daryl film’s, directed by Carpenter, John"
1989,,High Spirits,Comedy,"O'Toole, Peter","Hannah, Daryl","Jordan, Neil",53,No,"High Spirits: a O'Toole, Peter and Hannah, Daryl film’s, directed by Jordan, Neil"
1987,107,Roxanne,Comedy,"Martin, Steve","Hannah, Daryl","Schepisi, Fred",66,No,"Roxanne: a Martin, Steve and Hannah, Daryl film’s, directed by Schepisi, Fred"
1936,89,Libeled Lady,Comedy,"Powell, William","Harlow, Jean","Conway, Jack",86,No,"Libeled Lady: a Powell, William and Harlow, Jean film’s, directed by Conway, Jack"
1970,94,There's a Girl in My Soup,Comedy,"Sellers, Peter","Hawn, Goldie","Boulting, Roy",41,No,"There's a Girl in My Soup: a Sellers, Peter and Hawn, Goldie film’s, directed by Boulting, Roy"
1978,112,Foul Play,Comedy,"Chase, Chevy","Hawn, Goldie","Higgins, Colin",46,No,"Foul Play: a Chase, Chevy and Hawn, Goldie film’s, directed by Higgins, Colin"
1982,109,Best Friends,Comedy,"Reynolds, Burt","Hawn, Goldie","Jewison, Norman",74,No,"Best Friends: a Reynolds, Burt and Hawn, Goldie film’s, directed by Jewison, Norman"
1987,112,Overboard,Comedy,"Russell, Kurt","Hawn, Goldie","Marshall, Garry",6,No,"Overboard: a Russell, Kurt and Hawn, Goldie film’s, directed by Marshall, Garry"
1992,102,Housesitter,Comedy,"Martin, Steve","Hawn, Goldie","Oz, Frank",14,No,"Housesitter: a Martin, Steve and Hawn, Goldie film’s, directed by Oz, Frank"
1986,106,Wildcats,Comedy,"Keach, James","Hawn, Goldie","Ritchie, Michael",22,No,"Wildcats: a Keach, James and Hawn, Goldie film’s, directed by Ritchie, Michael"
1984,100,Protocol,Comedy,"Sarandon, Chris","Hawn, Goldie","Ross, Herbert",53,No,"Protocol: a Sarandon, Chris and Hawn, Goldie film’s, directed by Ross, Herbert"
1980,102,Seems Like Old Times,Comedy,"Chase, Chevy","Hawn, Goldie","Sandrich, Jay",49,No,"Seems Like Old Times: a Chase, Chevy and Hawn, Goldie film’s, directed by Sandrich, Jay"
1980,110,Private Benjamin,Comedy,"Assante, Armand","Hawn, Goldie","Zieff, Howard",61,No,"Private Benjamin: a Assante, Armand and Hawn, Goldie film’s, directed by Zieff, Howard"
1990,105,Dick Tracy,Comedy,"Beatty, Warren","Headley, Glenne","Beatty, Warren",84,No,"Dick Tracy: a Beatty, Warren and Headley, Glenne film’s, directed by Beatty, Warren"
1984,90,Johnny Dangerously,Comedy,"Piscopo, Joe","Henner, Marilu","Heckerling, Amy",3,No,"Johnny Dangerously: a Piscopo, Joe and Henner, Marilu film’s, directed by Heckerling, Amy"
1952,95,Pat & Mike,Comedy,"Tracy, Spencer","Hepburn, Katharine","Cukor, George",48,No,"Pat & Mike: a Tracy, Spencer and Hepburn, Katharine film’s, directed by Cukor, George"
1957,153,Desk Set,Comedy,"Tracy, Spencer","Hepburn, Katharine","Lang, Walter",51,No,"Desk Set: a Tracy, Spencer and Hepburn, Katharine film’s, directed by Lang, Walter"
1991,101,Adam's Rib,Comedy,"Tracy, Spencer","Hepburn, Katharine",,62,No,
1991,113,"Philadelphia Story, The",Comedy,"Tracy, Spencer","Hepburn, Katharine",,25,No,
1991,112,Without Love,Comedy,"Tracy, Spencer","Hepburn, Katharine",,66,No,
1991,113,Woman of the Year,Comedy,"Tracy, Spencer","Hepburn, Katharine",,12,No,
1987,112,Tin Men,Comedy,"Dreyfuss, Richard","Hershey, Barbara","Levinson, Barry",50,No,"Tin Men: a Dreyfuss, Richard and Hershey, Barbara film’s, directed by Levinson, Barry"
1987,95,"Allnighter, The",Comedy,"Terlesky, John","Hoffs, Susanna","Hoffs, Tamar Simon",71,No,"Allnighter, The: a Terlesky, John and Hoffs, Susanna film’s, directed by Hoffs, Tamar Simon"
1980,99,Caddyshack,Comedy,"Chase, Chevy","Holcomb, Sarah","Ramis, Harold",70,No,"Caddyshack: a Chase, Chevy and Holcomb, Sarah film’s, directed by Ramis, Harold"
1987,94,"Rita, Sue & Bob Too",Comedy,"Finneran, Siohban","Holmes, Michelle","Clarke, Alan",5,No,"Rita, Sue & Bob Too: a Finneran, Siohban and Holmes, Michelle film’s, directed by Clarke, Alan"
1950,104,Harvey,Comedy,"Stewart, James","Hull, Josephine","Koster, Henry",42,No,"Harvey: a Stewart, James and Hull, Josephine film’s, directed by Koster, Henry"
1987,94,Raising Arizona,Comedy,"Cage, Nicolas","Hunter, Holly","Coen, Joel",23,No,"Raising Arizona: a Cage, Nicolas and Hunter, Holly film’s, directed by Coen, Joel"
1989,114,Once Around,Comedy,"Dreyfuss, Richard","Hunter, Holly","Hallstr�m, Lasse",68,No,"Once Around: a Dreyfuss, Richard and Hunter, Holly film’s, directed by Hallstr�m, Lasse"
1992,102,"Addams Family, The",Comedy,"Julia, Raul","Huston, Anjelica","Sonnenfeld, B.",8,No,"Addams Family, The: a Julia, Raul and Huston, Anjelica film’s, directed by Sonnenfeld, B."
1991,108,Necessary Roughness,Comedy,"Bakula, Scott","Ireland, Kathy","Dragoti, Stan",60,No,"Necessary Roughness: a Bakula, Scott and Ireland, Kathy film’s, directed by Dragoti, Stan"
1988,97,Crossing Delancey,Comedy,"Riegert, Peter","Irving, Amy","Silver, Joan Micklin",6,No,"Crossing Delancey: a Riegert, Peter and Irving, Amy film’s, directed by Silver, Joan Micklin"
1987,89,Business As Usual,Comedy,"Thaw, John","Jackson, Glenda","Barrett, Lezli-An",17,No,"Business As Usual: a Thaw, John and Jackson, Glenda film’s, directed by Barrett, Lezli-An"
1973,103,A Touch of Class,Comedy,"Segal, George","Jackson, Glenda","Frank, Melvin",79,Yes,"A Touch of Class: a Segal, George and Jackson, Glenda film’s, directed by Frank, Melvin"
1988,89,Salome's Last Dance,Comedy,"Johns, Stratford","Jackson, Glenda","Russell, Ken",76,No,"Salome's Last Dance: a Johns, Stratford and Jackson, Glenda film’s, directed by Russell, Ken"
1955,108,Smiles of a Summer Night,Comedy,"Bj�rnstrand, Gunnar","Jacobsson, Ulla","Bergman, Ingmar",58,No,"Smiles of a Summer Night: a Bj�rnstrand, Gunnar and Jacobsson, Ulla film’s, directed by Bergman, Ingmar"
1989,90,New Year's Day,Comedy,"Jaglom, Henry","Jakobsen, Maggie","Jaglom, Henry",88,No,"New Year's Day: a Jaglom, Henry and Jakobsen, Maggie film’s, directed by Jaglom, Henry"
1937,59,Swing It Sailor!,Comedy,"Ford, Wallace","Jewell, Isabel",,6,No,
1991,83,Strictly Business,Comedy,"Davidson, Tommy","Johnson, Anne-Marie","Hooks, Kevin",3,No,"Strictly Business: a Davidson, Tommy and Johnson, Anne-Marie film’s, directed by Hooks, Kevin"
1983,90,Blame It on Rio,Comedy,"Caine, Michael","Johnson, Michelle","Donen, Stanley",10,No,"Blame It on Rio: a Caine, Michael and Johnson, Michelle film’s, directed by Donen, Stanley"
1963,99,Bedtime Story,Comedy,"Brando, Marlon","Jones, Shirley","Levy, Ralph",7,No,"Bedtime Story: a Brando, Marlon and Jones, Shirley film’s, directed by Levy, Ralph"
1991,117,"Courtship of Eddie's Father, The",Comedy,"Howard, Ron","Jones, Shirley",,43,No,
1973,103,Paper Moon,Comedy,"O'Neal, Ryan","Kahn, Madeline","Bogdanovich, Peter",3,Yes,"Paper Moon: a O'Neal, Ryan and Kahn, Madeline film’s, directed by Bogdanovich, Peter"
1983,97,Yellowbeard,Comedy,"Chapman, Graham","Kahn, Madeline","Damski, Mel",34,No,"Yellowbeard: a Chapman, Graham and Kahn, Madeline film’s, directed by Damski, Mel"
